Address,Borough,Geo Address,Id,Lat,Lon,Target
"1-50 50th Ave, Long Island City, NY 11101",queens,"1-50 50th ave, long island city, ny 11101, usa",NA,40.7432753,-73.9590448,0
"72-09 Northern Boulevard Jackson Heights, NY 11372",queens,"72-09 northern blvd, jackson heights, ny 11372, usa",491,40.7549039,-73.8943747,0
"89-11 Northern Boulevard Jackson Heights, NY 11372",queens,"89 11 northern blvd, jackson heights, ny 11372, usa",1113,40.7565939,-73.8783375,0
"54-06 31st Avenue Woodside, NY 11377",queens,"54-6 31st ave, woodside, ny 11377, usa",1761,40.7568037,-73.9070427,0
"30-97 Steinway Street Astoria, NY 11103",queens,"30-97 steinway st, astoria, ny 11103, usa",3146,40.7613619,-73.916647,0
"31-01 Ditmars Boulevard Astoria, NY 11105",queens,"31-01 ditmars blvd, astoria, ny 11105, usa",7576,40.776013,-73.910205,0
"250 Page Avenue Staten Island, NY 10307",staten island,"250 page ave, staten island, ny 10307, usa",6052,40.5172033,-74.2354028,0
"5830 Amboy Road Staten Island, NY 10309",staten island,"5830 amboy rd, staten island, ny 10309, usa",6055,40.5255213,-74.201653,0
"4055 Hylan Blvd Staten Island, NY 10308",staten island,"4055 hylan blvd, staten island, ny 10308, usa",6057,40.5409209,-74.1475993,0
"4065 Amboy Road Staten Island, NY 10308",staten island,"4065 amboy rd, staten island, ny 10308, usa",2364,40.5496668,-74.1523471,0
"260 Arden Avenue Staten Island, NY 10312",staten island,"260 arden ave, staten island, ny 10312, usa",6058,40.5530978,-74.1923432,0
"640 Arthur Kill Road Staten Island, NY 10312",staten island,"640 arthur kill rd, staten island, ny 10308, usa",6047,40.5595475,-74.1628515,0
"2690 Hylan Boulevard, Hylan Shopping Plaza, Staten Island, NY 10306",staten island,"2690 hylan blvd, staten island, ny 10306, usa",6046,40.5665837,-74.1132286,0
"2655 Richmond Avenue Staten Island, NY 10314",staten island,"2655 richmond ave, staten island, ny 10314, usa",677,40.5811976,-74.1647604,0
"2465 Richmond Avenue Staten Island, NY 10314",staten island,"2465 richmond ave, staten island, ny 10314, usa",6054,40.587616,-74.1663375,0
"1361 Hylan Boulevard Staten Island, NY 10305",staten island,"1361 hylan blvd, staten island, ny 10305, usa",6049,40.5954049,-74.0864632,0
"778a Manor Road Staten Island, NY 10314",staten island,"778a manor rd, staten island, ny 10314, usa",2439,40.6080747,-74.1217329,0
"1654 Richmond Avenue Staten Island, NY 10314",staten island,"1654 richmond ave, staten island, ny 10314, usa",6050,40.6083516,-74.1642734,0
"1933 Victory Boulevard Staten Island, NY 10314",staten island,"1933 victory blvd, staten island, ny 10314, usa",6048,40.6128465,-74.1287215,0
"1125 Bay Street Staten Island, NY 10305",staten island,"1125 bay st, staten island, ny 10305, usa",6056,40.6158843,-74.0670056,0
"1571 Forest Avenue Staten Island, NY 10302",staten island,"1571 forest ave, staten island, ny 10302, usa",6045,40.6251199,-74.1402446,0
"2045 Forest Avenue Staten Island, NY 10303",staten island,"2045 forest ave, staten island, ny 10303, usa",6053,40.6267079,-74.1574388,0
"812 Forest Ave Staten Island, NY 10301",staten island,"812 forest ave, staten island, ny 10310, usa",10904,40.6287652,-74.1164258,0
"501 Forest Avenue Staten Island, NY 10310",staten island,"501 forest ave, staten island, ny 10310, usa",6051,40.6308147,-74.10624,0
"815 Hutchinson River Pkwy Bronx, NY 10465",bronx,"815 hutchinson river pkwy, bronx, ny 10465, usa",17649,40.8235586,-73.8373024,1
"700 Exterior St Bronx, NY 10451",bronx,"700 exterior street, bronx, ny 10451, usa",17526,40.823963,-73.9302874,1
"40 W 225th St Bronx, NY 10463",bronx,"40 w 225th st, bronx, ny 10463, usa",16921,40.8726616,-73.9077807,1
"1598 Flatbush Ave Brooklyn, NY 11210",brooklyn,"1598 flatbush ave, brooklyn, ny 11210, usa",17290,40.6315059,-73.9467515,1
"519 Gateway Dr Brooklyn, NY 11239",brooklyn,"519 gateway dr, brooklyn, ny 11239, usa",16740,40.6529944,-73.870071,1
"139 Flatbush Ave Brooklyn, NY 11217",brooklyn,"139 flatbush ave, brooklyn, ny 11217, usa",16969,40.6845602,-73.9776112,1
"445 Gold St Brooklyn, NY 11201",brooklyn,"445 gold st, brooklyn, ny 11201, usa",17681,40.6909912,-73.9829165,1
"255 Greenwich Street Btwn. Murray St. And Park Pl New York, NY 10007",manhattan,"255 greenwich st, new york, ny 10007, usa",17688,40.7143637,-74.01094,1
"400 Grand Street New York, NY 10002",manhattan,"400 grand st, new york, ny 10002, usa",17728,40.7164903,-73.9867718,1
"112 W 34th Street Btwn. 6th And 7th Ave New York, NY 10120",manhattan,"112 west 34th street, 18th floor, new york, ny 10120, united states",17726,40.7498093,-73.9890026,1
"7000 Austin St Forest Hills, NY 11375",queens,"7000 austin st, forest hills, ny 11375, usa",17684,40.7208767,-73.8473538,1
"8801 Queens Blvd Elmhurst, NY 11373",queens,"88-01 queens blvd, forest hills, ny 11375, usa",16683,40.7357181,-73.8744498,1
"2900 Veterans Rd W Staten Island, NY 10309",staten island,"2900 veterans rd w, staten island, ny 10309, usa",17101,40.5285885,-74.2327892,1
"2873 Richmond Ave Staten Island, NY 10314",staten island,"2873 richmond ave, staten island, ny 10314, usa",17616,40.5748538,-74.1667504,1
